date,Bundesland,pubHoliday
2020-12-20,Sachsen-Anhalt,0
2020-12-20,Schleswig-Holstein,0
2020-12-20,Thüringen,0
2020-12-27,Baden-Württemberg,2
2020-12-27,Bayern,2
2020-12-27,Berlin,2
2020-12-27,Brandenburg,2
2020-12-27,Bremen,2
2020-12-27,Hamburg,2
2020-12-27,Hessen,2
2020-12-27,Mecklenburg-Vorpommern,2
2020-12-27,Niedersachsen,2
2020-12-27,Nordrhein-Westfalen,2
2020-12-27,Rheinland-Pfalz,2
2020-12-27,Saarland,2
2020-12-27,Sachsen,2
2020-12-27,Sachsen-Anhalt,2
2020-12-27,Schleswig-Holstein,2
2020-12-27,Thüringen,2
2020-12-31,Baden-Württemberg,0
2020-12-31,Bayern,0
2020-12-31,Berlin,0
2020-12-31,Brandenburg,0
2020-12-31,Bremen,0
2020-12-31,Hamburg,0
2020-12-31,Hessen,0
2020-12-31,Mecklenburg-Vorpommern,0
2020-12-31,Niedersachsen,0
2020-12-31,Nordrhein-Westfalen,0
2020-12-31,Rheinland-Pfalz,0
2020-12-31,Saarland,0
2020-12-31,Sachsen,0
2020-12-31,Sachsen-Anhalt,0
2020-12-31,Schleswig-Holstein,0
2020-12-31,Thüringen,0
